openml_id,modelo,total_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,best_model_info,best_score_cv
11,autogluon,3599.4259004592896,0.9959398853544804,0.9787234042553192,0.0721037288553009,WeightedEnsemble_L3,0.9993069983029912
15,autogluon,1706.525582075119,0.990438808373591,0.9476190476190476,0.1410254953861327,WeightedEnsemble_L2,0.9990939349112428
18,autogluon,3631.2798335552216,0.977932098765432,0.7866666666666666,0.5256024730580886,WeightedEnsemble_L3,0.9789217687074828
40975,autogluon,3599.542012691498,1.0,1.0,0.0118031806357445,WeightedEnsemble_L2,1.0
40982,autogluon,3618.120002508164,0.973893210135959,0.8147512864493996,0.5150803792709168,WeightedEnsemble_L2,0.9766076469144612
40994,autogluon,2820.28711438179,0.9227799227799228,0.9382716049382716,0.1545114788342763,WeightedEnsemble_L2,0.9939486994219654
23,autogluon,1965.118455410004,0.7636167594609861,0.5927601809954751,0.8754777841534124,WeightedEnsemble_L2,0.7614842605085549
29,autogluon,2550.6814589500427,0.9119092627599245,0.8309178743961353,0.3804519080881139,WeightedEnsemble_L3,0.9622353349531412
31,autogluon,2725.2879452705383,0.7866666666666667,0.7466666666666667,0.4938570418637274,WeightedEnsemble_L2,0.8433138969873664
37,autogluon,1702.8042674064636,0.8388477366255144,0.7532467532467533,0.4689027218000889,WeightedEnsemble_L2,0.8584568372803667
50,autogluon,3601.49853515625,1.0,0.9965277777777778,0.0189482722396155,CatBoost_r69_BAG_L1,1.0
54,autogluon,3320.023329257965,0.965359755095332,0.8582677165354331,0.3291793006041639,WeightedEnsemble_L2,0.9786018920757183
188,autogluon,3606.046406030655,0.9374597504154796,0.751131221719457,0.6274240684715533,WeightedEnsemble_L3,0.9400211859402466
307,autogluon,3614.285283565521,0.9987529617159248,0.9696969696969696,0.1143784620424252,WeightedEnsemble_L2,0.9997251425822854
458,autogluon,3601.287111520767,0.999885138516126,0.9960474308300395,0.0281921201472817,NeuralNetFastAI_r145_BAG_L1,1.0
469,autogluon,2331.460265636444,0.5725403254820983,0.2125,1.763628689405963,WeightedEnsemble_L2,0.6401648211040776
1049,autogluon,3480.6395695209503,0.9392305807400146,0.91324200913242,0.2033174092553133,WeightedEnsemble_L3,0.9750793296089386
1050,autogluon,3417.912918567657,0.8354612034837687,0.906183368869936,0.2636468633354592,WeightedEnsemble_L3,0.9030040733197556
1063,autogluon,2558.5240750312805,0.763625,0.8152866242038217,0.4640383769779688,WeightedEnsemble_L3,0.9278620689655172
1068,autogluon,2254.975423336029,0.9006311360448808,0.933933933933934,0.1674090216919518,WeightedEnsemble_L2,0.9297476146506618
1462,autogluon,3599.508542537689,0.9999522752762068,0.9975728155339806,0.0113593330973351,CatBoost_r49_BAG_L1,1.0
1464,autogluon,1863.969014406204,0.7599631795538229,0.8088888888888889,0.4657315598705304,WeightedEnsemble_L2,0.7938293313929987
1468,autogluon,3609.9369673728943,0.9959276406035664,0.9598765432098766,0.1619396971983822,WeightedEnsemble_L3,0.998978410808768
1480,autogluon,2906.446079969406,0.7304,0.6685714285714286,0.5466048373166394,WeightedEnsemble_L3,0.8497664992510354
1494,autogluon,3029.157528400421,0.9308856252781488,0.8832807570977917,0.3005686057812078,WeightedEnsemble_L3,0.9552894605004886
1501,autogluon,3623.558143377304,0.9975720686985664,0.9414225941422594,0.2377215719838035,WeightedEnsemble_L2,0.9986027830165826
1510,autogluon,3599.922484397888,0.9976635514018692,0.9766081871345028,0.0678099596931202,WeightedEnsemble_L2,0.9992162162162164
6332,autogluon,2036.8295409679413,0.9001877346683355,0.8395061728395061,0.4129043289117335,WeightedEnsemble_L2,0.9368979357798166
23381,autogluon,2604.8519191741943,0.5668673599708082,0.5666666666666667,0.7265369022431368,WeightedEnsemble_L3,0.7892832009651151
40966,autogluon,3600.294874191284,1.0,0.9907407407407408,0.016843305168267,WeightedEnsemble_L2,0.999998190765668
