modelo,metrica,mean,std,ci_95_lower,ci_95_upper,margin_of_error
autogluon,mean_accuracy,0.8459,0.1692,0.7827,0.9090,0.0632
autogluon,mean_auc_ovo,0.8985,0.1246,0.8520,0.9450,0.0465
autogluon,mean_cross_entropy,0.3522,0.3531,0.2204,0.4841,0.1319
autogluon,total_time_sec,3006.0067,685.6206,2749.9918,3262.0216,256.0149
autosklearn,mean_accuracy,0.8004,0.1997,0.7259,0.8750,0.0746
autosklearn,mean_auc_ovo,0.8577,0.1656,0.7958,0.9195,0.0618
autosklearn,mean_cross_entropy,0.4836,0.3482,0.3536,0.6136,0.1300
autosklearn,total_time_sec,3611.1805,9.0110,3607.8158,3614.5453,3.3647
catboost,mean_accuracy,0.8317,0.1669,0.7694,0.8940,0.0623
catboost,mean_auc_ovo,0.8891,0.1276,0.8414,0.9367,0.0476
catboost,mean_cross_entropy,0.4118,0.3390,0.2852,0.5384,0.1266
catboost,total_time_sec,181.4910,290.0335,73.1907,289.7913,108.3003
lightgbm,mean_accuracy,0.8223,0.1700,0.7588,0.8857,0.0635
lightgbm,mean_auc_ovo,0.8817,0.1315,0.8325,0.9308,0.0491
lightgbm,mean_cross_entropy,0.5009,0.4655,0.3271,0.6747,0.1738
lightgbm,total_time_sec,854.5931,687.9456,597.7100,1111.4762,256.8831
realmlp,mean_accuracy,0.7877,0.2250,0.7036,0.8717,0.0840
realmlp,mean_auc_ovo,0.8364,0.1667,0.7742,0.8987,0.0623
realmlp,mean_cross_entropy,0.6055,0.6334,0.3690,0.8420,0.2365
realmlp,total_time_sec,31.6075,34.8892,18.5797,44.6354,13.0279
xgboost,mean_accuracy,0.8266,0.1674,0.7641,0.8891,0.0625
xgboost,mean_auc_ovo,0.8891,0.1226,0.8433,0.9349,0.0458
xgboost,mean_cross_entropy,0.4152,0.3562,0.2821,0.5482,0.1330
xgboost,total_time_sec,659.7826,640.3932,420.6559,898.9094,239.1268
